area,rooms,location_code,property_type,rental_price
70.0,0,930,1,9000000.0
50.0,0,930,1,9000000.0
200.0,0,174,1,145000000.0
90.0,0,529,1,9000000.0
180.0,0,633,1,38000000.0
300.0,0,248,1,100000000.0
100.0,5,930,1,20000000.0
90.0,3,962,1,18000000.0
1.1,7,318,1,40000000.0
112.1,3,330,1,7000000.0
64.0,3,593,1,15000000.0
64.0,3,304,1,8000000.0
70.0,4,933,1,32000000.0
68.0,2,248,0,8500000.0
35.0,2,0,4,7000000.0
80.0,2,736,0,12000000.0
60.0,2,0,1,40000000.0
98.0,2,0,0,26000000.0
70.0,2,0,0,19000000.0
35.0,1,0,4,7000000.0
43.0,0,930,3,15000000.0
30.0,1,943,0,4500000.0
90.0,2,819,0,14000000.0
70.0,4,819,1,17000000.0
950.0,11,735,1,25000000.0
90.0,2,248,0,25000000.0
35.0,1,633,4,5500000.0
47.0,1,943,0,4500000.0
93.0,2,0,0,27000000.0
86.0,2,759,0,25000000.0
70.0,2,248,0,9000000.0
56.0,2,933,0,10500000.0
35.0,3,0,4,7000000.0
100.0,2,0,0,26000000.0
105.0,0,881,3,19000000.0
300.0,0,498,2,8000000.0
71.5,2,633,0,18000000.0
44.0,1,0,0,9000000.0
75.0,2,0,0,22000000.0
80.0,2,881,0,15000000.0
35.0,2,0,4,7000000.0
170.0,6,881,1,80000000.0
200.0,0,0,1,45000000.0
80.0,0,498,1,55000000.0
50.0,1,736,0,9500000.0
305.0,0,759,2,9000000.0
120.0,3,385,0,30000000.0
83.0,2,184,0,18000000.0
80.0,2,184,0,22000000.0
99.0,2,0,1,26000000.0
121.5,3,184,0,185000000.0
95.0,2,819,0,15000000.0
70.0,2,248,0,10000000.0
55.0,2,0,0,12000000.0
140.0,3,0,0,40000000.0
80.0,2,248,0,30000000.0
70.0,2,0,0,45000000.0
385.0,0,0,2,22500000.0
75.0,2,736,0,7000000.0
40.0,1,930,0,5000000.0
80.0,0,223,3,23000000.0
61.0,1,759,0,16000000.0
120.0,3,385,1,29000000.0
49.0,1,943,0,6000000.0
134.0,3,633,0,72500000.0
51.0,1,0,0,14000000.0
135.0,3,529,0,5000000.0
90.0,2,385,0,19800000.0
60.0,3,687,1,15000000.0
80.0,2,819,1,10000000.0
35.0,2,712,4,7000000.0
35.0,1,930,4,5000000.0
35.0,3,498,4,7000000.0
300.0,0,582,2,8000000.0
39.0,1,0,0,11000000.0
35.0,2,248,4,7000000.0
128.0,3,736,1,40000000.0
90.0,2,385,0,19000000.0
116.0,0,385,3,29000000.0
60.0,2,582,1,10000000.0
89.0,2,385,0,18000000.0
43.0,1,930,0,5000000.0
80.0,6,633,1,25000000.0
110.0,3,819,1,18500000.0
35.0,2,385,4,7000000.0
35.0,1,943,4,7000000.0
35.0,2,587,4,7000000.0
63.0,1,943,0,5000000.0
89.0,2,184,0,22000000.0
100.0,0,0,1,60000000.0
51.0,1,0,0,14000000.0
35.0,2,0,4,7000000.0
80.0,0,385,3,22000000.0
385.0,0,184,2,13000000.0
102.0,2,0,1,25000000.0
107.0,0,759,3,25000000.0
63.0,2,587,1,11500000.0
69.0,0,943,3,15000000.0
64.0,2,304,1,18000000.0
112.0,5,759,1,58000000.0
75.0,2,943,0,13000000.0
75.0,2,136,0,14000000.0
80.0,2,385,0,22000000.0
120.0,3,385,0,35000000.0
60.0,2,930,1,10000000.0
71.0,0,587,3,15000000.0
32.0,1,633,4,5500000.0
80.0,5,593,1,18500000.0
42.0,3,304,1,20000000.0
60.0,4,596,1,17000000.0
100.0,4,0,1,27000000.0
115.0,2,736,1,12000000.0
54.0,1,385,0,17000000.0
88.0,2,587,0,15000000.0
66.0,2,930,0,12000000.0
35.0,2,943,4,5000000.0
50.0,7,759,1,18000000.0
96.0,2,587,0,14000000.0
88.0,2,223,0,20000000.0
64.0,1,0,0,22000000.0
99.0,2,248,0,17000000.0
92.0,0,587,3,15000000.0
80.0,2,819,0,14000000.0
50.0,0,529,1,5000000.0
16.0,3,154,1,15000000.0
95.0,2,0,1,40000000.0
20.0,0,736,1,8000000.0
60.0,2,943,0,5000000.0
80.0,2,248,0,15500000.0
126.0,4,587,1,26000000.0
50.0,4,78,1,19000000.0
47.0,1,943,0,4000000.0
40.0,1,930,0,5000000.0
45.0,4,881,1,10000000.0
70.0,2,248,0,14000000.0
82.0,0,248,3,19000000.0
100.0,0,0,1,30000000.0
32.0,3,881,1,10000000.0
280.0,4,195,1,25000000.0
